"ID","state","state_abbr","reg_rule_abbr","reg_indicator","reg_x","n_id","n_rule","n_type","n_state","reg_type","reg_type_label","reg_rule","reg_rule_label","reg_action","reg_action_label","reg_body","reg_body_label","code_univ_cite","code_state","code_label","code_annotated","code_division","code_section","code_section1","code_section2","code_text","notes","code_year_enacted","code_change_year","code_change_type","section_original","v0","v1","section_code_re","section1","first_element","IDx","idn","id1","id2","id3","id4","type_body_combined","ALLSECTXT"
"HI-REPORTS-AMMEND-OT-001","Hawaii","HI","CA","Yes",1,2,3,8,48,"REPORTS","Notice, Filing or Review of Transactions","AMMEND","Certificate of Amendments","REQMNT","requirement","OT","Other","HI Code § 414D-183","hawaii","Code","no",,"{SS}: 414D-183","{SS}: 414D-183","{SS}: 414D-183","ss414D-183 Articles of amendment. A corporation amending its articles shall deliver to the department director articles of amendment setting forth: (1) The name of the corporation; (2) The text of each amendment adopted; (3) The date of each amendment's adoption; (4) If approval of members was not required, a statement to that effect and a statement that the amendment was approved by a sufficient vote of the board of directors or incorporators; (5) If approval by members was required: (A) The designation, number of memberships outstanding, number of votes entitled to be cast by each class entitled to vote separately on the amendment, and number of votes of each class indisputably voting on the amendment; and (B) Either the total number of votes cast for and against the amendment by each class entitled to vote separately on the amendment or the total number of undisputed votes cast for the amendment by each class and a statement that the number cast for the amendment by each class was sufficient for approval by that class; (6) If approval of the amendment by some person or persons other than the members, the board, or the incorporators is required pursuant to section 414D-188, a statement that the approval was obtained. [L 2001, c 105, pt of ss1]","File with the director of the department of commerce and consumer affairs HI ST § 414D-183; if amended purusant to judicial reorganization HI ST § 414D-185",,,,,,,,,,"HI-REPORTS-AMMEND-OT",1,"8","584","id-ha-008","id-584","Certificate of Amendments - Other","{SS}: 414D-183 ;; {SS}: 414D-183"
"HI-REPORTS-AMMEND-OT-002","Hawaii","HI","CA","Yes",1,2,3,8,48,"REPORTS","Notice, Filing or Review of Transactions","AMMEND","Certificate of Amendments","REQMNT","requirement","OT","Other","HI Code § 414D-185","hawaii","Code","no",,"{SS}: 414D-185","{SS}: 414D-185","{SS}: 414D-185","ss414D-185 Amendment pursuant to judicial reorganization. (a) A corporation's articles may be amended without board approval or approval by the members or approval required pursuant to section 414D-188 to carry out a plan of reorganization ordered or decreed by a court of competent jurisdiction under federal statute if the articles after amendment contain only provisions required or permitted by section 414D-32. (b) The individual or individuals designated by the court shall deliver to the department director articles of amendment setting forth: (1) The name of the corporation; (2) The text of each amendment approved by the court; (3) The date of the court's order or decree approving the articles of amendment; (4) The title of the reorganization proceeding in which the order or decree was entered; and (5) A statement that the court had jurisdiction of the proceeding under federal statute. (c) This section shall not apply after entry of a final decree in the reorganization proceeding even though the court retains jurisdiction of the proceeding for limited purposes unrelated to consummation of the reorganization plan. [L 2001, c 105, pt of ss1]","File with the director of the department of commerce and consumer affairs HI ST § 414D-183; if amended purusant to judicial reorganization HI ST § 414D-185",,,,,,,,,,"HI-REPORTS-AMMEND-OT",2,"8","585","id-ha-009","id-585","Certificate of Amendments - Other","{SS}: 414D-185 ;; {SS}: 414D-185"
"HI-DISSOLV-VOLUNT-AG-001","Hawaii","HI","VD","Yes",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","VOLUNT","Voluntary Dissolutions","REQMNT","requirement","AG","Attorney General","HI Code § 414D-233","hawaii","Code","no",,"{SS}: 414D-233","{SS}: 414D-233","{SS}: 414D-233","ss414D-233 Notice to the attorney general of intention to dissolve. (a) A public benefit corporation shall give the attorney general written notice that it intends to dissolve before the time it delivers the articles of dissolution to the department director. The notice shall include a copy or summary of the plan of dissolution. (b) No assets shall be transferred or conveyed by a public benefit corporation as part of the dissolution process until twenty business days after it has given the written notice required by subsection (a) to the attorney general or until the attorney general has consented in writing to the dissolution, or indicated in writing that the attorney general will take no action in respect to, the transfer or conveyance, whichever is earlier. (c) When all or substantially all of the assets of a public benefit corporation have been transferred or conveyed following approval of dissolution, the board shall deliver to the attorney general a list showing those (other than creditors) to whom the assets were transferred or conveyed. The list shall indicate the addresses of each person (other than creditors) who received assets and indicate what assets each received. [L 2004, c 171, ss3; am L 2005, c 22, ss24; am L 2017, c 87, ss4]","Public Benefit Corp. HRS § 414D-233",,,,,,,,,,"HI-DISSOLV-VOLUNT-AG",1,"9","586","id-ha-010","id-586","Voluntary Dissolutions - AG","{SS}: 414D-233 ;; {SS}: 414D-233"
"HI-DISSOLV-VOLUNT-OT-001","Hawaii","HI","VD","Yes",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","VOLUNT","Voluntary Dissolutions","REQMNT","requirement","OT","Other","HI Code § 414D-243","hawaii","Code","no",,"{SS}: 414D-243","{SS}: 414D-243","{SS}: 414D-243","ss414D-243 Articles of dissolution. (a) At any time after dissolution is authorized, the corporation may dissolve by delivering to the department director articles of dissolution setting forth: (1) The name of the corporation; (2) The date dissolution was authorized; (3) A statement that dissolution was approved by a sufficient vote of the board; (4) If approval of members was not required, a statement to that effect and a statement that dissolution was approved by a sufficient vote of the board of directors or incorporators; (5) If approval by members was required: (A) The designation, number of memberships outstanding, number of votes entitled to be cast by each class entitled to vote separately on dissolution, and number of votes of each class indisputably voting on dissolution; and (B) Either the total number of votes cast for and against dissolution by each class entitled to vote separately on dissolution or the total number of undisputed votes cast for dissolution by each class and a statement that the number cast for dissolution by each class was sufficient for approval by that class; (6) If approval of dissolution by some person or persons other than the members, the board, or the incorporators is required pursuant to section 414D-242(a)(3), a statement that the approval was obtained. (b) A corporation is dissolved upon the effective date of its articles of dissolution. The articles of dissolution may specify a delayed effective time and date, and if it does so, the document becomes effective at the time and date specified. If a delayed effective date but no time is specified, the document is effective at the close of business on that date. A delayed effective date for a document may not be later than the thirtieth day after the date it is filed. [L 2001, c 105, pt of ss1]","HRS § 414D-243",,,,,,,,,,"HI-DISSOLV-VOLUNT-OT",1,"10","587","id-ha-011","id-587","Voluntary Dissolutions - Other","{SS}: 414D-243 ;; {SS}: 414D-243"
"HI-DISSOLV-JUDICI-AG-001","Hawaii","HI","JD","Yes",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","JUDICI","Judicial Dissolutions","REQMNT","requirement","AG","Attorney General","HI Code § 414D-252","hawaii","Code","no",,"{SS}: 414D-252","{SS}: 414D-252","{SS}: 414D-252","ss414D-252 Grounds for judicial dissolution. (a) The court may dissolve a corporation in a proceeding by the attorney general if it is established that: (1) The corporation obtained its articles of incorporation through fraud; (2) The corporation has continued to exceed or abuse the authority conferred upon it by law; (3) The corporation is a public benefit corporation and the corporate assets are being misapplied or wasted; or (4) The corporation is a public benefit corporation and is no longer able to carry out its activities. (b) In a proceeding by fifty members or members holding five per cent of the voting power, whichever is less, or by a director or any person specified in the articles, the court may dissolve a corporation if it is established that: (1) The directors are deadlocked in the management of the corporate affairs, and the members, if any, are unable to breach the deadlock; (2) The directors or those in control of the corporation have acted, are acting, or will act in a manner that is illegal, oppressive, or fraudulent; (3) The members are deadlocked in voting power and have failed, for a period that includes at least two consecutive annual meeting dates, to elect successors to directors whose terms have, or would otherwise have, expired; or (4) The corporate assets are being misapplied or wasted. (c) The court may dissolve a corporation in a proceeding by a creditor if it is established that: (1) The creditor's claim has been reduced to judgment, the execution on the judgment returned unsatisfied, and the corporation is insolvent; or (2) The corporation has admitted in writing that the creditor's claim is due and owing and the corporation is insolvent. (d) The court may dissolve a corporation in a proceeding by the corporation to have its voluntary dissolution continued under court supervision. (e) Prior to dissolving a corporation, the court shall consider whether there are reasonable alternatives to dissolution, whether dissolution is in the public interest, provided the corporation serves a public purpose, and whether dissolution is the best way of protecting the interests of members. [L 2001, c 105, pt of ss1; am L 2004, c 171, ss11]","HRS § 414D-252",,,,,,,,,,"HI-DISSOLV-JUDICI-AG",1,"11","588","id-ha-012","id-588","Judicial Dissolutions - AG","{SS}: 414D-252 ;; {SS}: 414D-252"
"HI-DISSOLV-JUDICI-OT-001","Hawaii","HI","JD","Yes",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","JUDICI","Judicial Dissolutions","REQMNT","requirement","OT","Other","HI Code § 414D-255","hawaii","Code","no",,"{SS}: 414D-255","{SS}: 414D-255","{SS}: 414D-255","ss414D-255 Decree of dissolution. (a) If, after a hearing, the court determines that one or more grounds for judicial dissolution described in section 414D-252 exist, it may enter a decree dissolving the corporation and specifying the effective date of the dissolution, and the clerk of the court shall deliver a certified copy of the decree to the department director, who shall file it. (b) After entering the decree of dissolution, the court shall direct the winding up and liquidation of the corporation's affairs in accordance with section 414D-245 and the notification of its claimants in accordance with sections 414D-246 and 414D-247. [L 2001, c 105, pt of ss1]","Filing with Dept. of Commerce and Consumer Affairs HRS § 414D-255",,,,,,,,,,"HI-DISSOLV-JUDICI-OT",1,"12","589","id-ha-013","id-589","Judicial Dissolutions - Other","{SS}: 414D-255 ;; {SS}: 414D-255"
"HI-DISSOLV-ADMINI-AG-001","Hawaii","HI","AD","No",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","ADMINI","Administrative Dissolutions","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,"No",,,,,,,,,,"HI-DISSOLV-ADMINI-AG",1,"13","590","id-ha-014","id-590","Administrative Dissolutions - AG",""
"HI-DISSOLV-ADMINI-OT-001","Hawaii","HI","AD","Yes",1,1,2,6,48,"DISSOLV","Notice or Action for Dissolutions","ADMINI","Administrative Dissolutions","REQMNT","requirement","OT","Other","HI Code § 414D-248","hawaii","Code","no",,"{SS}: 414D-248","{SS}: 414D-248","{SS}: 414D-248","ss414D-248 Grounds for administrative dissolution. The department director may commence a proceeding under section 414D-249 to administratively dissolve a corporation if the corporation fails to: (1) Pay any fees prescribed by law; (2) File its annual report for a period of two years; (3) Appoint and maintain an agent for service of process as required; or (4) File a statement of a change in the name or business address of the agent as required under chapter 425R. [L 2001, c 105, pt of ss1; am L 2002, c 130, ss60; am L 2003, c 124, ss32; am L 2009, c 55, ss22]","Dept. of Commerce and Consumer Affairs HRS § 414D-248",,,,,,,,,,"HI-DISSOLV-ADMINI-OT",1,"14","591","id-ha-015","id-591","Administrative Dissolutions - Other","{SS}: 414D-248 ;; {SS}: 414D-248"
"HI-HOSPCON-STATUT-NS-001","Hawaii","HI","HS","Yes",1,1,1,4,48,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","STATUT","Has Statute","REQMNT","requirement","NS","Not Specific","HI Code § 432C",,"Code","no",,"{SS}: 432C","{SS}: 432C","",,"HRS § 432C",,,,,,,,,,"HI-HOSPCON-STATUT-NS",1,"15","592","id-ha-016","id-592","Has Statute","{SS}: 432C"
"HI-HOSPCON-OVERSI-AG-001","Hawaii","HI","NO","Yes",1,1,2,4,48,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","OVERSI","Requires Notice or Oversight","REQMNT","requirement","AG","Attorney General","HI Code § 28-5.2",,"Code","no",,"{SS}: 28-5.2","{SS}: 28-5.2","",,"H.R.S. § 28-5.2",,,,,,,,,,"HI-HOSPCON-OVERSI-AG",1,"16","593","id-ha-017","id-593","Requires Notice or Oversight by AG","{SS}: 28-5.2"
"HI-HOSPCON-OVERSI-OT-001","Hawaii","HI","NO","Yes",1,1,2,4,48,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","OVERSI","Requires Notice or Oversight","REQMNT","requirement","OT","Other","HI Code § 432C-3",,"Code","no",,"{SS}: 432C-3","{SS}: 432C-3","",,"Insurance commissioner, HRS § 432C-3",,,,,,,,,,"HI-HOSPCON-OVERSI-OT",1,"17","594","id-ha-018","id-594","Requires Notice or Oversight by Other","{SS}: 432C-3"
"HI-HOSPCON-FILING-OT-001","Hawaii","HI","RF","Yes",1,1,1,4,48,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","FILING","Requires Filing","REQMNT","requirement","OT","Other","HI Code § 432C-2",,"Code","no",,"{SS}: 432C-2","{SS}: 432C-2","",,"Insurance commissioner, HRS § 432C-2",,,,,,,,,,"HI-HOSPCON-FILING-OT",1,"18","595","id-ha-019","id-595","Requires Filing - Other","{SS}: 432C-2"
"HI-AUDITFI-AUDITS-NS-001","Hawaii","HI","RA","Yes",1,1,1,2,48,"AUDITFI","Audits","AUDITS","Requires Audit","REQMNT","requirement","NS","Not Specific","HI Code § 467B-6.5(b)",,"Code","no",,"{SS}: 467B-6.5(b)","{SS}: 467B-6.5(b)","",,"Haw. Rev. Stat. § 467B-6.5(b)",,,,,,,,,,"HI-AUDITFI-AUDITS-NS",1,"19","596","id-ha-020","id-596","Requires Audit","{SS}: 467B-6.5(b)"
"HI-AUDITFI-THRESH-NS-001","Hawaii","HI","AT","$500,000",1,1,1,2,48,"AUDITFI","Audits","THRESH","Audit Threshold","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,"500000",,,,,,,,,,"HI-AUDITFI-THRESH-NS",1,"20","597","id-ha-021","id-597","Audit Threshold",""
"HI-REGILAW-REGIST-NS-001","Hawaii","HI","RL","Yes",1,1,1,1,48,"REGILAW","Registration Law","REGIST","Registration Law","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-1",,"Code","no",,"{SS}: 467B-1","{SS}: 467B-1","",,"HRS § 467B-1 et seq.",,,,,,,,,,"HI-REGILAW-REGIST-NS",1,"21","598","id-ha-022","id-598","Registration Law","{SS}: 467B-1"
"HI-ORGTYPE-RELIGI-NS-001","Hawaii","HI","RO","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","RELIGI","Religious Organizations","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(1)",,"Code","no",,"{SS}: 467B-11.5(1)","{SS}: 467B-11.5(1)","",,"HRS § 467B-11.5(1)",,,,,,,,,,"HI-ORGTYPE-RELIGI-NS",1,"22","599","id-ha-023","id-599","Religious Organizations","{SS}: 467B-11.5(1)"
"HI-ORGTYPE-SMALLO-NS-001","Hawaii","HI","SO","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","SMALLO","Small organizations","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(8)",,"Code","no",,"{SS}: 467B-11.5(8)","{SS}: 467B-11.5(8)","",,"HRS § 467B-11.5(8) ($25k)",,,,,,,,,,"HI-ORGTYPE-SMALLO-NS",1,"23","600","id-ha-024","id-600","Small organizations","{SS}: 467B-11.5(8)"
"HI-ORGTYPE-EDUCAT-NS-001","Hawaii","HI","EI","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","EDUCAT","Educational Institutions","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(3)",,"Code","no",,"{SS}: 467B-11.5(3)","{SS}: 467B-11.5(3)","",,"HRS § 467B-11.5(3), 467B-11.5(4)",,,,,,,,,,"HI-ORGTYPE-EDUCAT-NS",1,"24","601","id-ha-025","id-601","Educational Institutions","{SS}: 467B-11.5(3)"
"HI-ORGTYPE-GOVMNT-NS-001","Hawaii","HI","GO","Yes",1,2,2,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","GOVMNT","Governmental Organizations","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-1",,"Code","no",,"{SS}: 467B-1","{SS}: 467B-1","",,"HRS § 467B-1 and HRS § 467B-11.5(7)",,,,,,,,,,"HI-ORGTYPE-GOVMNT-NS",1,"25","602","id-ha-026","id-602","Governmental Organizations","{SS}: 467B-1"
"HI-ORGTYPE-GOVMNT-NS-002","Hawaii","HI","GO","Yes",1,2,2,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","GOVMNT","Governmental Organizations","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(7)",,"Code","no",,"{SS}: 467B-11.5(7)","{SS}: 467B-11.5(7)","",,"HRS § 467B-1 and HRS § 467B-11.5(7)",,,,,,,,,,"HI-ORGTYPE-GOVMNT-NS",2,"25","603","id-ha-027","id-603","Governmental Organizations","{SS}: 467B-11.5(7)"
"HI-ORGTYPE-HOSPIT-NS-001","Hawaii","HI","HO","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","HOSPIT","Hospitals","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(5)",,"Code","no",,"{SS}: 467B-11.5(5)","{SS}: 467B-11.5(5)","",,"Nonprofit hospital: HRS § 467B-11.5(5)",,,,,,,,,,"HI-ORGTYPE-HOSPIT-NS",1,"26","604","id-ha-028","id-604","Hospitals","{SS}: 467B-11.5(5)"
"HI-ORGTYPE-VETERA-NS-001","Hawaii","HI","VO","No",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","VETERA","Veterans organizations","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"HI-ORGTYPE-VETERA-NS",1,"27","605","id-ha-029","id-605","Veterans organizations",""
"HI-ORGTYPE-FNDYES-NS-001","Hawaii","HI","FD","No",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","FNDYES","Foundations","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"HI-ORGTYPE-FNDYES-NS",1,"28","606","id-ha-030","id-606","Foundations",""
"HI-ORGTYPE-FNDNOS-NS-001","Hawaii","HI","FS","No",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","FNDNOS","Foundations that don't solicit contributions","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"HI-ORGTYPE-FNDNOS-NS",1,"29","607","id-ha-031","id-607","Foundations that don't solicit contributions",""
"HI-ORGTYPE-CTRUST-NS-001","Hawaii","HI","CT","No",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","CTRUST","Charitable Trusts","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"HI-ORGTYPE-CTRUST-NS",1,"30","608","id-ha-032","id-608","Charitable Trusts",""
"HI-ORGTYPE-PTOEDU-NS-001","Hawaii","HI","PT","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","PTOEDU","Parent-Teacher Organizations","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(2)",,"Code","no",,"{SS}: 467B-11.5(2)","{SS}: 467B-11.5(2)","",,"HRS § 467B-11.5(2)",,,,,,,,,,"HI-ORGTYPE-PTOEDU-NS",1,"31","609","id-ha-033","id-609","Parent-Teacher Organizations","{SS}: 467B-11.5(2)"
"HI-ORGTYPE-CONGRE-NS-001","Hawaii","HI","RC","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","CONGRE","Reports to congress","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-11.5(6)",,"Code","no",,"{SS}: 467B-11.5(6)","{SS}: 467B-11.5(6)","",,"HRS § 467B-11.5(6)",,,,,,,,,,"HI-ORGTYPE-CONGRE-NS",1,"32","610","id-ha-034","id-610","Reports to congress","{SS}: 467B-11.5(6)"
"HI-ORGTYPE-NONSOL-NS-001","Hawaii","HI","NS","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","NONSOL","Non-soliciting","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-2.1",,"Code","no",,"{SS}: 467B-2.1","{SS}: 467B-2.1","",,"HRS § 467B-2.1 (registered org may deactivate in registry if no longer soliciting)",,,,,,,,,,"HI-ORGTYPE-NONSOL-NS",1,"33","611","id-ha-035","id-611","Non-soliciting","{SS}: 467B-2.1"
"HI-ORGTYPE-MEMFRA-NS-001","Hawaii","HI","FM","No",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","MEMFRA","Fraternal/ Membership","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"HI-ORGTYPE-MEMFRA-NS",1,"34","612","id-ha-036","id-612","Fraternal/ Membership",""
"HI-ORGTYPE-POLITI-NS-001","Hawaii","HI","PO","Yes",1,1,1,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","POLITI","Political Orgs","EXMPTN","exemption","NS","Not Specific","HI Code § 467B-1",,"Code","no",,"{SS}: 467B-1","{SS}: 467B-1","",,"HRS § 467B-1",,,,,,,,,,"HI-ORGTYPE-POLITI-NS",1,"35","613","id-ha-037","id-613","Political Orgs","{SS}: 467B-1"
"HI-ORGTYPE-OTHTYP-NS-000","Hawaii","HI","OT",,0,0,0,15,48,"ORGTYPE","Exemptions from Registering for Specific Organization Types","OTHTYP","Other","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,,,,,,,,,,,"HI-ORGTYPE-OTHTYP-NS",0,"36","614","id-ha-038","id-614","Other",""
"HI-REMEDYT-DISSOL-NS-001","Hawaii","HI","DS","Yes",1,1,1,2,48,"REMEDYT","Defined remedies","DISSOL","Dissolution","REMEDY","remedy","NS","Not Specific","HI Code § 414D-252","hawaii","Code","no",,"{SS}: 414D-252","{SS}: 414D-252","{SS}: 414D-252","ss414D-252 Grounds for judicial dissolution. (a) The court may dissolve a corporation in a proceeding by the attorney general if it is established that: (1) The corporation obtained its articles of incorporation through fraud; (2) The corporation has continued to exceed or abuse the authority conferred upon it by law; (3) The corporation is a public benefit corporation and the corporate assets are being misapplied or wasted; or (4) The corporation is a public benefit corporation and is no longer able to carry out its activities. (b) In a proceeding by fifty members or members holding five per cent of the voting power, whichever is less, or by a director or any person specified in the articles, the court may dissolve a corporation if it is established that: (1) The directors are deadlocked in the management of the corporate affairs, and the members, if any, are unable to breach the deadlock; (2) The directors or those in control of the corporation have acted, are acting, or will act in a manner that is illegal, oppressive, or fraudulent; (3) The members are deadlocked in voting power and have failed, for a period that includes at least two consecutive annual meeting dates, to elect successors to directors whose terms have, or would otherwise have, expired; or (4) The corporate assets are being misapplied or wasted. (c) The court may dissolve a corporation in a proceeding by a creditor if it is established that: (1) The creditor's claim has been reduced to judgment, the execution on the judgment returned unsatisfied, and the corporation is insolvent; or (2) The corporation has admitted in writing that the creditor's claim is due and owing and the corporation is insolvent. (d) The court may dissolve a corporation in a proceeding by the corporation to have its voluntary dissolution continued under court supervision. (e) Prior to dissolving a corporation, the court shall consider whether there are reasonable alternatives to dissolution, whether dissolution is in the public interest, provided the corporation serves a public purpose, and whether dissolution is the best way of protecting the interests of members. [L 2001, c 105, pt of ss1; am L 2004, c 171, ss11]","HRS § 414D-252",,,,,,,,,,"HI-REMEDYT-DISSOL-NS",1,"37","615","id-ha-039","id-615","Dissolution","{SS}: 414D-252 ;; {SS}: 414D-252"
"HI-REMEDYT-BRDRMV-NS-001","Hawaii","HI","RM","Yes",1,1,1,2,48,"REMEDYT","Defined remedies","BRDRMV","Removal of Board Members","REMEDY","remedy","NS","Not Specific","HI Code § 414D-140","hawaii","Code","no",,"{SS}: 414D-140","{SS}: 414D-140","{SS}: 414D-140","ss414D-140 Removal of directors by judicial proceeding. (a) The circuit court of the county where a corporation's principal office is located may remove any director of the corporation from office in a proceeding commenced either by the corporation or its members holding at least ten per cent of the voting power of any class, or the attorney general in the case of a public benefit corporation, if the court finds that with respect to the corporation, the director's removal is in the best interest of the corporation due to: (1) The director's fraudulent or dishonest conduct; (2) The director's gross abuse of authority or discretion; or (3) A final judgment finding that the director has violated a duty set forth in sections 414D-149 and 414D-152, and that removal is in the best interest of the corporation. (b) The court that removes a director may bar the director from serving on the board for a period prescribed by the court. (c) If members or the attorney general commence a proceeding under subsection (a), the corporation shall be made a party defendant. (d) If a public benefit corporation or its members commence a proceeding under subsection (a), within ten days of its commencement, they shall give the attorney general written notice of the proceeding. [L 2001, c 105, pt of ss1; am L 2004, c 171, ss7]","Haw. Rev. Stat. § 414D-140",,,,,,,,,,"HI-REMEDYT-BRDRMV-NS",1,"38","616","id-ha-040","id-616","Removal of Board Members","{SS}: 414D-140 ;; {SS}: 414D-140"
"HI-FNDRAZE-COMREG-NS-001","Hawaii","HI","CF","Yes",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","COMREG","Does the state require registration by commercial fundraisers?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-12",,"Code","no",,"{SS}: 467B-12","{SS}: 467B-12","",,"Haw. Rev. Stat. § 467B-12",,,,,,,,,,"HI-FNDRAZE-COMREG-NS",1,"39","617","id-ha-041","id-617","Does the state require registration by commercial fundraisers?","{SS}: 467B-12"
"HI-FNDRAZE-COUNSL-NS-001","Hawaii","HI","FC","Yes",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","COUNSL","Does the state require registration by fundraising counsel?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-12",,"Code","no",,"{SS}: 467B-12","{SS}: 467B-12","",,"Haw. Rev. Stat. § 467B-12",,,,,,,,,,"HI-FNDRAZE-COUNSL-NS",1,"40","618","id-ha-042","id-618","Does the state require registration by fundraising counsel?","{SS}: 467B-12"
"HI-FNDRAZE-VENTUR-NS-001","Hawaii","HI","CC","Yes",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","VENTUR","Does the state oversee commercial-coventuring (e.g. by requiring that the co-venture be registered or by requiring that the charitable organization files the co-venture contract)?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-5.5",,"Code","no",,"{SS}: 467B-5.5","{SS}: 467B-5.5","",,"""The commercial co-venturer shall file a copy of the written consent with the department not less than ten days prior to the commencement of the charitable sales promotion within this State."" Haw. Rev. Stat. § 467B-5.5",,,,,,,,,,"HI-FNDRAZE-VENTUR-NS",1,"41","619","id-ha-043","id-619","Does the state oversee commercial-coventuring (e.g. by requiring that the co-venture be registered or by requiring that the charitable organization files the co-venture contract)?","{SS}: 467B-5.5"
"HI-FNDRAZE-NOTICE-NS-001","Hawaii","HI","NT","No",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","NOTICE","Does the state require the fundraisers to provide notice to the regulator before any solicitation campaign (in addition to annual registration and/or filing the contract)?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-12.5",,"Code","no",,"{SS}: 467B-12.5","{SS}: 467B-12.5","",,"Must file each new contract 10 days before start of campaign: Haw. Rev. Stat. Ann. § 467B-12.5 (West)",,,,,,,,,,"HI-FNDRAZE-NOTICE-NS",1,"42","620","id-ha-044","id-620","Does the state require the fundraisers to provide notice to the regulator before any solicitation campaign (in addition to annual registration and/or filing the contract)?","{SS}: 467B-12.5"
"HI-FNDRAZE-DDONOR-NS-001","Hawaii","HI","SD","Yes",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","DDONOR","Does the state require specified disclosures to donors?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-1.5",,"Code","no",,"{SS}: 467B-1.5","{SS}: 467B-1.5","",,"Haw. Rev. Stat. § 467B-1.5 ""Professional solicitors; required disclosures.""",,,,,,,,,,"HI-FNDRAZE-DDONOR-NS",1,"43","621","id-ha-045","id-621","Does the state require specified disclosures to donors?","{SS}: 467B-1.5"
"HI-FNDRAZE-CNTRCT-NS-001","Hawaii","HI","FF","Yes",1,1,1,8,48,"FNDRAZE","Oversight of professional fundraisers","CNTRCT","Does the state require a copy of any contract between a charitable organization and a commercial fundraiser or fundraising counsel be filed with the regulator?","REQMNT","requirement","NS","Not Specific","HI Code § 467B-12.5",,"Code","no",,"{SS}: 467B-12.5","{SS}: 467B-12.5","",,"Haw. Rev. Stat. § 467B-12.5",,,,,,,,,,"HI-FNDRAZE-CNTRCT-NS",1,"44","622","id-ha-046","id-622","Does the state require a copy of any contract between a charitable organization and a commercial fundraiser or fundraising counsel be filed with the regulator?","{SS}: 467B-12.5"
